primary_name	systematic_id	19°C	36°C	MM	TBZ	MBC	LatA	BFA	cHex	H2O2	HU	EMS	Bleo	SDS	EGTA	KCl	Sorb	Calc
bub1	SPCC1322.12c	ND	+	ND	---	---	+	ND	ND	ND	-	ND	ND	ND	ND	ND	ND	ND
byr1	SPAC1D4.13	+	+	-	-	-	+	+	-	+	+	+	-	+	+	+	+	+
byr2	SPBC1D7.05	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	-
cdr1	SPAC644.06c	+	+	+	-	-	-	-	+	+	+	+	+	+	+	+	+	+
cdr2	SPAC57A10.02	+	+	+	-	-	+	+	+	+	+	+	+	+	-	+	+	+
cds1	SPCC18B5.11c	+	+	-	-	+	-	+	-	-	---	+	+	-	+	-	+	+
cek1	SPCC1450.11c	-	+	-	-	-	-	+	+	+	+	+	+	--	+	-	+	-
chk1	SPCC1259.13	+	+	+	-	-	+	-	+	+	---	-	-	+	+	+	+	+
cki1	SPBC1347.06c	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
cki2	SPBP35G2.05c	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+
cki3	SPAC1805.05	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+
cmk1	SPACUNK12.02c	+	-	-	-	+	+	+	-	+	-	+	-	+	+	+	+	+
cmk2	SPAC23A1.06c	+	+	-	+	+	+	+	-	+	-	+	-	-	+	+	+	+
csk1	SPAC1D4.06c	---	+	---	--	--	-	--	-	-	-	+	--	--	+	-	-	-
dsk1	SPBC530.14c	+	+	-	-	-	+	+	-	+	-	-	-	+	-	+	+	+
fin1	SPAC19E9.02	+	+	+	---	---	+	+	+	+	-	+	+	+	+	+	+	+
gad8	SPCC24B10.07	-	+	+	---	-	-	+	+	-	+	+	--	--	+	--	+	+
gsk3	SPAC1687.15	-	+	+	-	-	-	+	+	+	+	+	+	-	+	-	+	+
gsk31	SPBC8D2.01	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+
hhp1	SPBC3H7.15	--	-	-	-	-	+	-	+	-	---	---	--	--	+	-	-	+
hhp2	SPAC23C4.12	+	+	+	-	+	+	+	+	+	--	-	+	+	+	-	+	+
hri1	SPAC20G4.03c	+	+	+	-	-	-	-	+	+	+	-	-	-	+	+	+	+
hri2	SPAC222.07c	+	+	+	-	+	+	+	+	-	+	-	-	-	+	-	+	-
kin1	SPBC4F6.06	+	-	-	---	--	+	-	---	+	-	-	---	--	---	--	+	+
lkh1	SPAC1D4.11c	-	-	-	-	-	-	+	-	-	-	+	-	--	+	-	-	-
lsk1	SPAC2F3.15	-	+	+	--	-	+	+	+	-	+	-	-	+	+	+	+	+
mde3	SPBC8D2.19	+	+	+	-	+	-	+	+	+	-	+	+	-	+	-	-	-
mek1	SPAC14C4.03	-	+	+	-	-	+	-	+	+	+	+	+	+	+	+	+	+
mik1	SPBC660.14	-	+	+	-	-	+	+	+	+	---	+	+	+	+	+	+	+
mkh1	SPAC1F3.02c	+	-	-	--	-	+	+	+	+	-	-	+	+	-	-	+	+
mph1	SPBC106.01	+	+	--	---	---	+	-	-	-	-	-	-	-	-	-	+	+
oca2	SPCC1020.10	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
pck1	SPAC17G8.14c	--	-	+	-	+	-	+	+	+	+	+	+	-	+	-	+	+
pck2	SPBC12D12.04c	---	--	+	-	-	+	+	+	-	-	+	+	-	+	-	-	+
pef1	SPCC16C4.11	-	-	---	-	+	-	-	+	--	-	-	--	-	-	-	+	-
pek1	SPBC543.07	+	+	-	--	-	-	+	+	+	+	+	+	+	+	+	+	+
pit1	SPAC3C7.06c	+	+	-	-	-	+	+	+	+	+	-	+	+	+	-	+	+
pka1	SPBC106.10	+	+	+	--	--	---	+	-	-	--	+	--	-	+	---	-	+
pmk1	SPBC119.08	-	-	-	--	-	--	-	+	-	-	-	-	-	-	-	-	+
pom1	SPAC2F7.03c	--	+	+	-	-	--	-	-	+	-	-	-	--	-	-	-	-
ppk1	SPAC110.01	+	+	+	-	+	+	+	+	+	-	+	+	-	+	+	+	+
ppk2	SPAC12B10.14c	ND	+	-	-	+	+	+	+	+	+	-	+	+	+	+	+	+
ppk3	SPAC15A10.13	-	+	+	--	-	-	-	-	-	-	-	-	-	+	-	+	-
ppk4	SPAC167.01	+	-	--	-	-	-	-	+	+	-	-	-	-	+	-	-	-
ppk5	SPAC16C9.07	+	+	+	-	+	+	-	+	+	+	+	+	+	+	+	+	+
ppk6	SPAC1805.01c	+	+	-	+	+	+	+	-	+	+	+	+	+	+	+	+	+
ppk7	SPAC22E12.14c	+	+	+	-	-	+	-	-	+	+	-	+	+	+	-	+	+
ppk8	SPAC22G7.08	+	+	+	-	+	+	+	-	+	-	-	-	+	-	+	+	+
ppk9	SPAC23H4.02	+	+	+	-	-	-	+	+	+	-	+	-	+	+	+	+	+
ppk10	SPAC29A4.16	-	+	---	---	-	--	-	--	-	---	-	---	--	+	+	-	-
ppk11	SPAC2C4.14c	+	-	+	-	-	+	+	+	-	+	-	-	+	+	+	+	+
